System Time,HTTP Throughput (Kbps),RTP Throughput (Kbps),MOS Instant (Avg),RTP Throughput Inbound (Kbps)
7:48:17,0,0,0,0
7:48:23,1227,0,0,0
7:48:29,1227,0,0,0
7:48:35,1443,0,0,0
7:48:41,1443,0,0,0
7:48:47,1421,0,0,0
7:48:53,1421,0,0,0
7:48:59,1452,0,0,0
7:49:05,1452,0,0,0
7:49:11,1452,0,0,0
7:49:17,1452,0,0,0
7:49:23,944,511,0,0
7:49:29,944,511,0,0
7:49:36,907,512,0,0
7:49:42,907,512,0,0
7:49:48,907,511,0,0
7:49:55,904,511,0,0
7:50:01,904,511,0,0
7:50:08,906,511,0,0
7:50:14,906,511,438,273
7:50:21,524,518,441,272
7:50:27,652,518,436,271
7:50:34,652,517,434,272
7:50:41,549,517,441,257
7:50:48,576,517,420,260
7:50:54,576,517,438,274
7:51:01,591,517,434,273
7:51:08,591,542,420,273
7:51:15,589,542,441,274
7:51:22,589,513,434,221
7:51:29,506,513,437,270
7:51:36,509,510,434,273
7:51:43,509,510,432,273
7:51:50,591,513,425,253
7:51:57,591,513,431,229
7:52:05,600,560,434,274
7:52:12,545,560,410,270
7:52:19,545,518,428,273
7:52:26,511,518,437,253
7:52:34,546,390,423,264
7:52:41,546,390,441,273
7:52:48,580,390,0,62
7:52:56,951,507,0,0
7:53:03,951,503,0,0
7:53:11,850,503,0,0
7:53:19,910,326,0,0
7:53:26,910,326,0,0
7:53:34,1452,0,0,0
7:53:42,1479,0,0,0
7:53:50,1391,0,0,0
7:53:58,1391,0,0,0
7:54:06,1461,0,0,0
7:54:14,1376,0,0,0
7:54:22,1376,0,0,0
7:54:30,50,0,0,0
7:54:38,0,0,0,0
7:48:17,0,0,0,0
7:48:23,1227,0,0,0
7:48:29,1227,0,0,0
7:48:35,1443,0,0,0
7:48:41,1443,0,0,0
7:48:47,1421,0,0,0
7:48:53,1421,0,0,0
7:48:59,1452,0,0,0
7:49:05,1452,0,0,0
7:49:11,1452,0,0,0
7:49:17,1452,0,0,0
7:49:23,944,511,0,0
7:49:29,944,511,0,0
8:00:00,1500,1500,1500,1500
8:10:00,1600,1600,1600,1600
8:20:00,1700,1400,1100,1300
8:30:00,1600,1600,1600,1600
8:40:00,100,1000,500,2000
8:50:00,100,1000,500,2000
